yandex_id	name	region_id	place
2523	Санкт-Петербургский государственный университет	903	2
2634	Ярославский государственный педагогический университет им. К. Д. Ушинского	924	89
2693	Школа педагогикифилиалДВФУ	881	1868
2224	Байкальский государственный университет	854	130
2317	Иркутский национальный исследовательский технический университет	854	81
2463	Пермский государственный медицинский университет им. академика Е. А. Вагнера	880	306
2315	Иркутский государственный университет	854	122
2453	Пензенский государственный аграрный университет	879	-1
2313	Иркутский государственный аграрный университет им. А. А. Ежевского	854	-1
2216	Амурский государственный университет	842	316
2455	Пензенский государственный университет	879	73
2669	Оренбургский институтфилиалМГАЮ им. О. Е. Кутафина	877	540
2448	Оренбургский государственный медицинский университет	877	-1
2441	Омский государственный медицинский университет	876	-1
2442	Омский государственный педагогический университет	876	193
2652	Калужский филиал Московского государственного технического университета им. Н. Э. БауманафилиалМГТУ им. Баумана	857	383
2445	Омский государственный университет путей сообщения	876	-1
2679	Сибирский институт управленияфилиалРАНХиГС	875	-1
2335	Кемеровский государственный университет	860	182
2664	Новокузнецкий институтфилиалКемГУ	860	711
2572	Тверской государственный медицинский университет	911	-1
2333	Кемеровский государственный медицинский университет	860	-1
2642	Волго-Вятский институтфилиалМГАЮ им. О. Е. Кутафина	861	710
2338	Кировский государственный медицинский университет	861	-1
2429	Нижнетагильский государственный социально-педагогический институтфилиалРГППУ	906	-1
2411	Национальный исследовательский технологический университет «Московский институт стали и сплавов»	870	25
2353	Кубанский государственный университет	863	59
2379	Московский автомобильно-дорожный государственный технический университет	870	82
2414	Национальный исследовательский университет «Высшая школа экономики»	870	4
2416	Национальный исследовательский университет «Московский энергетический институт»	870	29
2575	Технологический университет	870	-1
2439	Норильский государственный индустриальный институт	864	601
2476	Российская академия народного хозяйства и государственной службы при Президенте РФ	870	27
2415	Национальный исследовательский университет «Московский государственный институт электронной техники»	870	49
2639	Балашовский институтфилиалСГУ им. Н. Г. Чернышевского	904	665
2536	Саратовский национальный исследовательский государственный университет им. Н. Г. Чернышевского	904	50
2662	Санкт-Петербургский филиал Национального исследовательского университета «Высшая школа экономики»филиалНИУ ВШЭ	903	-1
2675	Санкт-Петербургский филиал имени В. Б. БобковафилиалРТА	903	-1
2521	Санкт-Петербургский политехнический университет Петра Великого	903	14
2514	Санкт-Петербургский горный университет	903	28
2678	Северо-Западный институт управленияфилиалРАНХиГС	903	1024
2209	Алтайский государственный гуманитарно-педагогический университет им. В. М. Шукшина	841	559
2213	Алтайский государственный университет	841	136
2690	Филиал Северного (Арктического) федерального университета им. М. В. ЛомоносовафилиалСАФУ им. М. В. Ломоносова	843	533
2211	Алтайский государственный педагогический университет	841	-1
2646	Дальневосточный институт управленияфилиалРАНХиГС	917	1943
2595	Ульяновский институт гражданской авиации	916	-1
2506	Самарский государственный социально-педагогический университет	902	-1
2232	Белгородский государственный аграрный университет им. В. Я. Горина	845	326
2637	Азово-Черноморский инженерный институтфилиалДонской ГАУ	900	805
2238	Брянский государственный аграрный университет	846	-1
2239	Брянский государственный инженерно-технологический университет	846	-1
2648	Елабужский институтфилиалКФУ	897	629
2684	Технический институтфилиалСВФУ им. М. К. Аммосова	895	84
2672	Политехнический институтфилиалСВФУ им. М. К. Аммосова	895	811
2349	Крымский федеральный университет им. В. И. Вернадского	892	-1
2645	Волжский политехнический институтфилиалВолгГТУ	848	-1
2643	Волгоградский институт управленияфилиалРАНХиГС	848	2040
2286	Дагестанский государственный медицинский университет	887	187
2629	Южно-Уральский государственный медицинский университет	919	284
2261	Воронежский государственный университет	850	32
2689	Филиал Национального исследовательского Южно-Уральского государственного университетафилиалЮУрГУ	919	751
2257	Воронежский государственный лесотехнический университет им. Г. Ф. Морозова	850	328
2627	Южно-Уральский государственный аграрный университет	919	-1
2417	Национальный исследовательский Южно-Уральский государственный университет	919	30
2628	Южно-Уральский государственный гуманитарно-педагогический университет	919	-1
2272	Государственный аграрный университет Северного Зауралья	914	-1
2651	Ишимский педагогический институт им. П. П. ЕршовафилиалТюмГУ	914	1663
2685	Тобольский педагогический институт им. Д. И. МенделеевафилиалТюмГУ	914	1569
2589	Тюменский индустриальный университет	914	-1
2552	Сибирский государственный медицинский университет	912	126
